OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1363,73520,73520,Shiawassee,Shiawassee Township,Township,95.356,36.817,23562.785,17A,portrait,lower,177980885.667969,53439.9179180919
1364,07280,7280,Bennington,Bennington Township,Township,95.293,36.793,23547.27,17A,portrait,lower,177862553.839844,53481.7504872819
1365,23500,23500,Durand,City of Durand,City,5.035,1.944,1244.198,17A,portrait,lower,9398626.4765625,32406.407874389
1366,82040,82040,Vernon,Vernon Township,Township,88.483,34.163,21864.466,17A,portrait,lower,165157014.914062,85393.2984384755
1367,44200,44200,Laingsburg,City of Laingsburg,City,4.39,1.695,1084.834,17A,landscape,lower,8189346.171875,16451.3124795499
1368,71960,71960,Sciota,Sciota Township,Township,69.335,26.77,17132.783,17A,portrait,lower,129413675.53125,59839.7331757473
1369,11880,11880,Burns,Burns Township,Township,92.944,35.886,22966.781,17A,portrait,lower,172993505.8125,52625.0301507222
1370,03120,3120,Antrim,Antrim Township,Township,94.817,36.609,23429.481,17A,landscape,lower,176471318.480469,53150.5525236203
1371,63720,63720,Perry,Perry Township,Township,82.198,31.737,20311.394,17A,portrait,lower,152980553.789062,77577.1542308741
1372,88400,88400,Woodhull,Woodhull Township,Township,70.909,27.378,17521.69,17A,portrait,lower,131965590.058594,46241.4178479211
1373,63700,63700,Perry,City of Perry,City,7.849,3.03,1939.44,17A,landscape,lower,14607155.9023438,25656.2548884529
1374,00720,720,Akron,Akron Township,Township,136.768,52.806,33795.714,17A,portrait,lower,261296440.570312,115518.851344584
1375,25300,25300,Elkland,Elkland Township,Township,92.101,35.56,22758.328,17A,portrait,lower,175912669.058594,53101.4232452573
1376,25720,25720,Elmwood,Elmwood Township,Township,92.061,35.545,22748.495,17A,portrait,lower,175832206.464844,53044.2686706616
1377,17420,17420,Columbia,Columbia Township,Township,93.141,35.962,23015.457,17A,landscape,lower,177902005.136719,56405.7040372766
1378,88080,88080,Wisner,Wisner Township,Township,50.312,19.425,12432.189,17A,portrait,lower,96005705.0429688,60893.4558683133
1379,59420,59420,Novesta,Novesta Township,Township,92.885,35.863,22952.118,17A,portrait,lower,176905699.445312,53236.7505787766
1380,25380,25380,Ellington,Ellington Township,Township,92.332,35.649,22815.431,17A,portrait,lower,175848454.609375,53045.09430388
1381,01620,1620,Almer,Almer Township,Township,87.655,33.844,21659.719,17A,portrait,lower,166943192.386719,63197.3216534745
1382,27100,27100,Fairgrove,Fairgrove Township,Township,91.425,35.299,22591.436,17A,landscape,lower,174041616.269531,53090.3995399948
1383,32160,32160,Gilford,Gilford Township,Township,90.118,34.795,22268.4,17A,portrait,lower,171555971.613281,52611.380530355
1384,13420,13420,Caro,City of Caro,City,7.638,2.949,1887.316,17A,portrait,lower,14522686.7109375,28804.9816381997
